Timestamp                Peak field [mV/m]  Freq [kHz]
----------------------------------------------
2020-03-05 08:12:25.318            3.380      27.01
2020-03-05 08:12:49.318            3.025      27.20
2020-03-05 08:12:58.318            4.954      27.07
2020-03-05 08:13:16.318            3.780      27.07
2020-03-05 08:13:19.318            2.722      27.07
2020-03-05 08:13:24.318            2.675      27.01
2020-03-05 08:13:32.318            3.952      27.07
2020-03-05 08:13:33.318            2.681      27.01
2020-03-05 08:14:03.318            5.788      27.01
2020-03-05 08:14:06.318            4.856      27.07
2020-03-05 08:14:49.319            7.508      27.07
2020-03-05 08:15:35.319            3.956      27.14
2020-03-05 08:18:23.319            3.381      28.61
2020-03-05 08:20:01.319           15.555      27.97
2020-03-05 08:23:18.319            3.037      30.34
2020-03-05 08:23:24.319            3.161      30.27
2020-03-20 23:18:42.588            1.401      29.06
2020-03-20 23:40:32.590            0.214      26.88
2020-03-30 01:26:32.907            0.885      23.94
2020-03-30 01:26:33.907            0.651      22.14
2020-03-30 01:26:34.907            0.985      22.02
2020-03-30 05:14:40.930            0.503      23.04
2020-03-30 20:40:52.024            0.230      23.30
2020-03-30 20:44:12.024            0.231      25.09
2020-03-30 20:44:43.024            0.279      23.04
2020-03-31 17:03:16.147            1.011      24.51
2020-04-01 02:19:36.203            0.608      25.15
2020-04-01 04:31:24.216            0.304      24.90
2020-04-01 21:06:55.292            0.213      21.95
2020-04-02 01:08:43.316            0.646      23.62
2020-04-02 01:08:46.316            0.465      23.23
2020-04-02 05:54:22.345            0.638      24.70
2020-04-02 07:35:31.355            0.259      22.27
2020-04-02 16:38:07.409            0.318      25.09
2020-04-03 04:01:30.478            0.437      23.30
2020-04-03 04:01:36.478            0.255      22.72
2020-04-03 04:01:37.478            0.417      22.40
2020-04-03 04:17:33.480            0.277      23.17
2020-04-03 10:59:59.520            0.302      29.76
2020-04-03 12:45:55.531            0.223      26.24
2020-04-03 13:25:03.535            0.438      24.77
2020-04-03 22:58:24.593            0.359      24.77
2020-04-03 22:59:41.593            0.278      22.98
2020-04-04 16:41:26.700            0.404      28.42
2020-04-04 16:42:59.700            0.247      26.82
2020-04-04 16:49:49.700            0.353      25.22
2020-04-07 22:11:31.167            0.371      37.38
2020-04-07 22:11:33.167            0.428      37.31
2020-04-10 10:32:03.541            0.847      29.70
2020-04-10 10:32:14.541            0.575      27.52
2020-04-11 17:22:27.727            0.168      34.56
2020-04-18 18:40:41.769            0.218      34.50
2020-04-21 14:04:16.182            0.532      24.00
